                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     38,               0.053436,               0.039741,               0.060979,                0.01171,                0.64853,                0.68172,                 0.6693,                0.29312,                0.59737,                0.59531,                0.53339,                 0.2476,               0.048771,               0.030833,               0.051026,              0.0091384,              0.0098211,              0.0098211,              0.0098211
                     39,               0.053351,               0.041309,               0.059953,               0.011672,                0.68802,                0.64763,                0.69399,                0.28521,                0.58543,                0.57036,                0.55727,                0.30251,               0.055267,               0.032483,               0.050339,              0.0092203,              0.0098163,              0.0098163,              0.0098163
                     40,               0.054806,               0.038977,               0.064921,               0.011297,                0.72888,                0.70931,                0.74511,                0.31275,                0.62326,                0.60076,                0.58416,                0.31911,                0.05099,               0.031386,                0.05183,              0.0088642,              0.0098115,              0.0098115,              0.0098115
                     41,                0.05344,               0.040246,               0.061949,               0.011297,                 0.7299,                0.69531,                0.73383,                0.35155,                0.62604,                 0.5988,                0.58416,                0.29321,               0.047323,                0.03099,               0.050977,              0.0088321,              0.0098066,              0.0098066,              0.0098066
                     42,               0.051768,               0.039564,               0.058568,                0.01069,                0.64456,                 0.7011,                0.68547,                0.34428,                0.58788,                0.62351,                0.56926,                0.28845,                0.04918,               0.030279,               0.049268,              0.0083881,              0.0098018,              0.0098018,              0.0098018
                     43,               0.052859,               0.039652,               0.059887,               0.009733,                0.68703,                0.71603,                 0.7262,                0.32641,                0.59506,                0.62454,                0.59669,                0.32181,               0.049987,                0.03016,               0.048536,              0.0087263,               0.009797,               0.009797,               0.009797
                     44,               0.051974,               0.039418,               0.062327,               0.010901,                0.72278,                0.70986,                0.73527,                0.33402,                0.61736,                0.62658,                0.59715,                0.32662,               0.050037,               0.028959,               0.047557,              0.0076594,              0.0097921,              0.0097921,              0.0097921
                     45,               0.050639,               0.038857,               0.062619,               0.010413,                 0.6527,                0.72195,                0.70584,                0.32063,                0.56587,                0.60039,                0.57056,                0.27859,               0.048036,               0.029697,               0.049205,              0.0080938,              0.0097873,              0.0097873,              0.0097873
                     46,               0.050491,                 0.0374,               0.060653,               0.009601,                0.71749,                0.75123,                0.76125,                 0.3696,                0.61578,                0.65537,                0.61237,                0.32591,               0.043926,               0.028307,               0.047616,              0.0077753,              0.0097825,              0.0097825,              0.0097825
                     47,               0.048166,               0.037838,                0.05731,              0.0094527,                0.73587,                0.71167,                0.74694,                0.39807,                0.62257,                0.63153,                0.60954,                0.34869,               0.047529,               0.028437,               0.048346,              0.0081347,              0.0097776,              0.0097776,              0.0097776
                     48,               0.051079,               0.037556,               0.055274,              0.0093223,                0.75028,                 0.7265,                0.76419,                0.36059,                0.62426,                0.63951,                0.60554,                0.35102,               0.046735,               0.028794,               0.046159,                 0.0075,              0.0097728,              0.0097728,              0.0097728
                     49,               0.048481,               0.038077,               0.057595,              0.0094743,                0.73926,                0.72558,                0.77978,                0.37382,                 0.6515,                0.59283,                0.59519,                0.30082,               0.046598,               0.029953,               0.047716,              0.0074526,               0.009768,               0.009768,               0.009768
                     50,               0.048319,               0.037408,               0.057762,              0.0096284,                 0.7491,                 0.6776,                 0.7514,                0.38689,                0.60421,                 0.5517,                0.54495,                0.28875,               0.046834,               0.032191,               0.050324,              0.0080232,              0.0097631,              0.0097631,              0.0097631
                     51,               0.047166,                0.03962,               0.056973,                 0.0103,                 0.7423,                0.72764,                0.78391,                0.39993,                0.61446,                0.63029,                0.60507,                0.30807,               0.043906,               0.029528,                0.04826,              0.0071931,              0.0097583,              0.0097583,              0.0097583
                     52,               0.048846,               0.035356,               0.054461,              0.0082771,                0.80163,                0.74551,                0.81633,                0.41407,                0.68663,                0.65152,                 0.6439,                0.36573,               0.043266,               0.028227,               0.047439,              0.0069001,              0.0097535,              0.0097535,              0.0097535
                     53,               0.047341,               0.038144,               0.058288,              0.0089298,                0.77675,                0.74884,                0.81374,                0.38199,                0.65811,                0.66081,                0.63944,                 0.3598,               0.044672,               0.027972,               0.046485,               0.006643,              0.0097486,              0.0097486,              0.0097486
                     54,               0.050404,               0.035771,               0.057953,               0.008563,                0.82413,                0.76888,                0.82631,                 0.4041,                0.73558,                0.70236,                0.70208,                0.39476,               0.046086,               0.026626,               0.045023,              0.0063836,              0.0097438,              0.0097438,              0.0097438
                     55,                  0.049,               0.036102,               0.057584,              0.0086182,                0.79517,                0.75726,                0.83199,                0.43694,                0.69667,                 0.6681,                0.66101,                0.34138,               0.041663,               0.026858,               0.045819,              0.0063412,               0.009739,               0.009739,               0.009739
                     56,               0.048738,               0.035595,               0.052093,              0.0084151,                0.77304,                0.75371,                0.80594,                0.37937,                  0.702,                0.65989,                0.65975,                0.29539,               0.045634,               0.027229,               0.046626,              0.0063086,              0.0097341,              0.0097341,              0.0097341
